YearEnding,Quarter,British,EU,NonEU
2013,Q1,141,75,141
2013,Q2,140,77,137
2013,Q3,137,78,141
2013,Q4,134,78,138
2014,Q1,129,83,138
2014,Q2,131,85,139
2014,Q3,135,87,139
2014,Q4,137,89,132
2015,Q1,133,86,131
2015,Q2,131,85,126
2015,Q3,128,85,122
2015,Q4,124,86,125
2016,Q1,126,89,126
2016,Q2,127,95,125
2016,Q3,128,102,124
2016,Q4,134,116,119
2017,Q1,133,121,120
2017,Q2,127,123,121
2017,Q3,129,142,121
2017,Q4,129,144,122
2018,Q1,127,144,121
2018,Q2,128,146,117
2018,Q3,121,145,118
2018,Q4,125,127,120
2019,Q1,130,141,121
2019,Q2,131,151,121
2019,Q3,140,133,127
2019,Q4,138,148,123
2020,Q1,144,137,121
2020,Q2,78,286,258
2020,Q3,53,258,231
2020,Q4,59,255,217
2021,Q1,53,231,168
2021,Q2,66,221,168
2021,Q3,82,273,149
2021,Q4,76,268,154
2022,Q1,81,266,170
2022,Q2,90,275,195
