YearEnding,Quarter,British,EU,NonEU
1991,Q4,-44,-1,89
1992,Q4,-62,5,44
1993,Q4,-62,4,58
1994,Q4,-16,9,85
1995,Q4,-51,23,104
1996,Q4,-62,28,88
1997,Q4,-59,18,88
1998,Q4,-22,33,129
1999,Q4,-24,8,179
2000,Q4,-62,6,214
2001,Q4,-48,7,213
2002,Q4,-88,7,234
2003,Q4,-91,15,224
2004,Q4,-107,87,266
2005,Q2,-100,106,254
2005,Q4,-88,96,198
2006,Q2,-107,89,195
2006,Q4,-124,104,218
2007,Q2,-122,122,208
2007,Q4,-97,127,204
2008,Q2,-87,88,196
2008,Q4,-87,63,187
2009,Q2,-70,62,174
2009,Q4,-44,82,184
2010,Q1,-34,76,199
2010,Q2,-33,85,196
2010,Q3,-44,94,218
2010,Q4,-43,90,217
2011,Q1,-50,112,215
2011,Q2,-55,116,222
2011,Q3,-60,107,228
2011,Q4,-70,115,204
2012,Q1,-77,107,185
2012,Q2,-76,99,172
2012,Q3,-72,91,160
2012,Q4,-63,108,115
2013,Q1,-65,123,106
2013,Q2,-63,135,105
2013,Q3,-58,163,101
2013,Q4,-57,155,109
2014,Q1,-50,161,123
2014,Q2,-48,171,129
2014,Q3,-54,191,149
2014,Q4,-55,209,155
2015,Q1,-48,219,159
2015,Q2,-46,212,163
2015,Q3,-40,200,153
2015,Q4,-40,216,154
2016,Q1,-43,207,162
2016,Q2,-49,189,166
2016,Q3,-56,165,168
2016,Q4,-60,133,179
2017,Q1,-59,123,179
2017,Q2,-48,103,173
2017,Q3,-51,106,193
2017,Q4,-48,99,199
2018,Q1,-55,85,200
2018,Q2,-48,74,212
2018,Q3,-35,57,224
2018,Q4,-48,75,205
2019,Q1,-54,62,213
2019,Q2,-66,48,224
2019,Q3,-74,65,254
2019,Q4,-61,50,282
2020,Q1,-61,58,316
2020,Q2,11,26,51
2020,Q3,15,-37,0
2020,Q4,5,-22,50
2021,Q1,-1,-37,100
2021,Q2,4,12,157
2021,Q3,35,-14,334
2021,Q4,56,-47,388
2022,Q1,54,-37,441
2022,Q2,45,-51,509
